0,1,2,3,0,1
945,975,"{7: 1, 5: 1, 3: 3}","[1, 3, 9, 27, 5, 15, 45, 135, 7, 21, 63, 189, 35, 105, 315]",12,16
1575,1649,"{7: 1, 5: 2, 3: 2}","[1, 3, 9, 5, 15, 45, 25, 75, 225, 7, 21, 63, 35, 105, 315, 175, 525]",18,21
2205,2241,"{7: 2, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 49, 147, 441, 245, 735]",20,22
2835,2973,"{7: 1, 5: 1, 3: 4}","[1, 3, 9, 27, 81, 5, 15, 45, 135, 405, 7, 21, 63, 189, 567, 35, 105, 315, 945]",24,36
3465,4023,"{11: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 11, 33, 99, 55, 165, 495, 77, 231, 693, 385, 1155]",30,42
4095,4641,"{13: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 13, 39, 117, 65, 195, 585, 91, 273, 819, 455, 1365]",36,55
4725,5195,"{7: 1, 5: 2, 3: 3}","[1, 3, 9, 27, 5, 15, 45, 135, 25, 75, 225, 675, 7, 21, 63, 189, 35, 105, 315, 945, 175, 525, 1575]",40,50
5355,5877,"{17: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 17, 51, 153, 85, 255, 765, 119, 357, 1071, 595, 1785]",42,54
5775,6129,"{11: 1, 7: 1, 5: 2, 3: 1}","[1, 3, 5, 15, 25, 75, 7, 21, 35, 105, 175, 525, 11, 33, 55, 165, 275, 825, 77, 231, 385, 1155, 1925]",48,76
5985,6495,"{19: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 19, 57, 171, 95, 285, 855, 133, 399, 1197, 665, 1995]",54,66
6435,6669,"{13: 1, 11: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 11, 33, 99, 55, 165, 495, 13, 39, 117, 65, 195, 585, 143, 429, 1287, 715, 2145]",56,64
6615,7065,"{7: 2, 5: 1, 3: 3}","[1, 3, 9, 27, 5, 15, 45, 135, 7, 21, 63, 189, 35, 105, 315, 945, 49, 147, 441, 1323, 245, 735, 2205]",60,108
6825,7063,"{13: 1, 7: 1, 5: 2, 3: 1}","[1, 3, 5, 15, 25, 75, 7, 21, 35, 105, 175, 525, 13, 39, 65, 195, 325, 975, 91, 273, 455, 1365, 2275]",66,78
7245,7731,"{23: 1, 7: 1, 5: 1, 3: 2}","[1, 3, 9, 5, 15, 45, 7, 21, 63, 35, 105, 315, 23, 69, 207, 115, 345, 1035, 161, 483, 1449, 805, 2415]",70,74
7425,7455,"{11: 1, 5: 2, 3: 3}","[1, 3, 9, 27, 5, 15, 45, 135, 25, 75, 225, 675, 11, 33, 99, 297, 55, 165, 495, 1485, 275, 825, 2475]",72,123
7875,8349,"{7: 1, 5: 3, 3: 2}","[1, 3, 9, 5, 15, 45, 25, 75, 225, 125, 375, 1125, 7, 21, 63, 35, 105, 315, 175, 525, 1575, 875, 2625]",78,90
